iter	Logloss
0	0.665362433
1	0.6395858054
2	0.6148055322
3	0.5928025425
4	0.5714323273
5	0.5540452006
6	0.5379849855
7	0.5225792851
8	0.5095721733
9	0.4970146355
10	0.4863873342
11	0.4760086298
12	0.4658556696
13	0.4562839737
14	0.4472491816
15	0.4415411192
16	0.4339114645
17	0.4283884245
18	0.4221427
19	0.4165738559
20	0.4105398831
21	0.4068059565
22	0.4019511174
23	0.3975990448
24	0.3943730221
25	0.3900736086
26	0.3864848009
27	0.3831822086
28	0.3802539095
29	0.37694379
30	0.3744748053
31	0.3721150221
32	0.370177752
33	0.3682207813
34	0.3661368279
35	0.3645886816
36	0.3626801856
37	0.3615120067
38	0.360084247
39	0.3591254879
40	0.3571528722
41	0.3559873479
42	0.3541445715
43	0.3526619682
44	0.35045429
45	0.3489683281
46	0.3473567741
47	0.3459157092
48	0.344504667
49	0.3432764999
50	0.3420957752
51	0.3408966234
52	0.3400130593
53	0.3386703712
54	0.3377440116
55	0.336491854
56	0.3356573722
57	0.335021335
58	0.3342325999
59	0.3332642713
60	0.3327136538
61	0.3320573911
62	0.3314236106
63	0.3305421855
64	0.3298664122
65	0.3292012003
66	0.3285781515
67	0.3277752965
68	0.3273331143
69	0.3264277091
70	0.3259004055
71	0.3253642425
72	0.3247548577
73	0.3243224468
74	0.3237838454
75	0.3232892223
76	0.3228272387
77	0.322178299
78	0.3218286789
79	0.3213097648
80	0.3209624604
81	0.3205338277
82	0.3202199898
83	0.3199207334
84	0.3194451244
85	0.3190686698
86	0.3188322586
87	0.3182139473
88	0.3179951515
89	0.3177763461
90	0.3173816375
91	0.316988973
92	0.3166237618
93	0.3163379498
94	0.3161132465
95	0.3158848076
96	0.3156569565
97	0.315418823
98	0.3151016677
99	0.3148700747
