iter	Logloss
0	0.66556604
1	0.6405393184
2	0.6174850922
3	0.5954008326
4	0.5746703455
5	0.5561989296
6	0.5390527872
7	0.5237328503
8	0.5097472011
9	0.4976450261
10	0.4860278213
11	0.4752596432
12	0.465030234
13	0.4544750908
14	0.4448690711
15	0.4379278837
16	0.4306096887
17	0.4238098937
18	0.4170221543
19	0.4109116677
20	0.406282083
21	0.4007454894
22	0.3974543321
23	0.3930690783
24	0.3891310996
25	0.3863482778
26	0.3824910759
27	0.3785426379
28	0.3758507987
29	0.3728768795
30	0.369962726
31	0.3672583867
32	0.3645692917
33	0.3621150258
34	0.3599005959
35	0.357637688
36	0.3554816191
37	0.3535557303
38	0.3517595241
39	0.3498660779
40	0.3482906458
41	0.3463156918
42	0.3447853568
43	0.3432616344
44	0.341999437
45	0.3405753016
46	0.3394378674
47	0.338321033
48	0.3371374722
49	0.3360605568
50	0.3350095156
51	0.3339360327
52	0.3326302801
53	0.3317149258
54	0.330924976
55	0.3300633773
56	0.3291476741
57	0.3281580277
58	0.3271999662
59	0.326658536
60	0.3258124876
61	0.3250670078
62	0.3245080665
63	0.3238494191
64	0.3233327317
65	0.3227033826
66	0.322129291
67	0.3215593488
68	0.3211136889
69	0.3206783061
70	0.3200294833
71	0.3194286738
72	0.3187686396
73	0.3182365515
74	0.3178144043
75	0.3172739427
76	0.3165588481
77	0.3161626446
78	0.3158489612
79	0.3153103667
80	0.3149027213
81	0.3145011109
82	0.3140072653
83	0.3135416794
84	0.3131833091
85	0.3129079115
86	0.3125297297
87	0.3120249241
88	0.3117362122
89	0.3114041595
90	0.3110514493
91	0.310764562
92	0.3105215675
93	0.3102710925
94	0.309953366
95	0.3095188879
96	0.3092200486
97	0.3088709014
98	0.3086177582
99	0.3084081392
