iter	Logloss
0	0.6640752893
1	0.6386415638
2	0.6133894631
3	0.5913976755
4	0.5695204597
5	0.5517763791
6	0.5336964175
7	0.5192101916
8	0.5060841785
9	0.4934728799
10	0.4826916662
11	0.4713161127
12	0.4619361191
13	0.4519078429
14	0.442890735
15	0.4364500313
16	0.4287299524
17	0.4222622935
18	0.4159215978
19	0.4103853091
20	0.405203884
21	0.4008697509
22	0.3965834689
23	0.3928915063
24	0.3895655212
25	0.3855648178
26	0.3820777282
27	0.3798638203
28	0.3764140742
29	0.3736399497
30	0.3708770996
31	0.3688545338
32	0.3670909522
33	0.3651553513
34	0.3630718893
35	0.3616676877
36	0.3598439837
37	0.3574197192
38	0.3552239615
39	0.3532904559
40	0.3516949766
41	0.3497286136
42	0.3479777588
43	0.3464156228
44	0.3446316155
45	0.3431557099
46	0.3416994796
47	0.3405200637
48	0.3393496167
49	0.338295256
50	0.3372360134
51	0.3361340315
52	0.3347636915
53	0.3339587227
54	0.3327240218
55	0.3319248349
56	0.3311014103
57	0.3305501645
58	0.3298793656
59	0.3292179637
60	0.3282380177
61	0.3276210767
62	0.3271177354
63	0.3262957619
64	0.325694226
65	0.325092208
66	0.324483399
67	0.3237235929
68	0.3232380717
69	0.3227428546
70	0.322211915
71	0.3216059458
72	0.3208111149
73	0.3203091121
74	0.3198955538
75	0.3194806074
76	0.3190694019
77	0.3185188487
78	0.3181750253
79	0.3176323251
80	0.3171035364
81	0.3166505534
82	0.3160934024
83	0.3157552889
84	0.3154209424
85	0.3150843754
86	0.3148173943
87	0.3144504144
88	0.3140083168
89	0.3136129618
90	0.3131458418
91	0.3128026041
92	0.3122724421
93	0.3117666102
94	0.3113484673
95	0.3109539243
96	0.3106760041
97	0.3101425925
98	0.309880678
99	0.3096759722
