iter	Logloss
0	0.6659275973
1	0.6409417275
2	0.6161812451
3	0.5937773778
4	0.5725530015
5	0.5551168551
6	0.5374115567
7	0.5227116239
8	0.5096653852
9	0.4968989437
10	0.4859419131
11	0.4745940049
12	0.4656129806
13	0.4555652684
14	0.4465408396
15	0.4396158735
16	0.4318417862
17	0.4252405
18	0.4190481552
19	0.4144905221
20	0.4095648541
21	0.4052065173
22	0.4011703711
23	0.3965737842
24	0.3926068198
25	0.3892122487
26	0.3862397904
27	0.3838511078
28	0.3805857068
29	0.3775136628
30	0.375351202
31	0.3724820931
32	0.3702528279
33	0.3677024631
34	0.3658880873
35	0.3639731943
36	0.3619001733
37	0.3607451381
38	0.3588913888
39	0.3572485888
40	0.3554032621
41	0.3533561282
42	0.3515576017
43	0.3495712677
44	0.3481162334
45	0.3467122894
46	0.3451195887
47	0.3435703599
48	0.3423072613
49	0.341062149
50	0.3400040555
51	0.3389010606
52	0.3378116242
53	0.3368859606
54	0.3361782026
55	0.3355833182
56	0.3347489707
57	0.3338393389
58	0.3329582397
59	0.3323125058
60	0.3315470707
61	0.330631354
62	0.3299279802
63	0.3294067267
64	0.3286297158
65	0.3279147381
66	0.3273668593
67	0.3266581342
68	0.3260507753
69	0.325693655
70	0.3250969996
71	0.3242441207
72	0.3237754598
73	0.3233421124
74	0.3226303227
75	0.3221756014
76	0.3217411929
77	0.3211645244
78	0.3206742981
79	0.320072876
80	0.3197229281
81	0.3191109885
82	0.3188112381
83	0.3184778927
84	0.3179473907
85	0.3176061469
86	0.3172101671
87	0.316777588
88	0.3165548412
89	0.3159998515
90	0.3156533107
91	0.3153932943
92	0.3148910417
93	0.3145494102
94	0.3141595171
95	0.3139344064
96	0.3137105621
97	0.3133523626
98	0.3129630899
99	0.3124984931
